"config","scale","factor","construct","purity","n_items","label","rule","collision_moved","loo_set_size","candidates","top1_hit","set_hit"
"cross_fp16","DASS","MR1","Stress",0.824,17,"irritability","tier1",FALSE,1,"irritability",FALSE,FALSE
"cross_fp16","DASS","MR2","Depression",1,14,"depression","tier1",FALSE,2,"depression pill; depression",TRUE,TRUE
"cross_fp16","DASS","MR3","Anxiety",1,11,"panic attack","tier1",FALSE,2,"panic attack; anxiety baking",FALSE,FALSE
"cross_int8","DASS","MR1","Stress",0.824,17,"irritability","tier1",FALSE,1,"irritability",FALSE,FALSE
"cross_int8","DASS","MR2","Depression",1,14,"depression","tier1",FALSE,2,"depression pill; depression",TRUE,TRUE
"cross_int8","DASS","MR3","Anxiety",1,11,"panic attack","tier1",FALSE,1,"panic attack",FALSE,FALSE
"cross_rerun","DASS","MR1","Stress",0.824,17,"irritability","tier1",FALSE,1,"irritability",FALSE,FALSE
"cross_rerun","DASS","MR2","Depression",1,14,"depression","tier1",FALSE,2,"depression pill; depression",TRUE,TRUE
"cross_rerun","DASS","MR3","Anxiety",1,11,"panic attack","tier1",FALSE,2,"panic attack; anxiety baking",FALSE,FALSE
"cross_nokeeper","DASS","MR1","Stress",0.824,17,"irritability","tier1",FALSE,1,"irritability",FALSE,FALSE
"cross_nokeeper","DASS","MR2","Depression",1,14,"depression","tier1",FALSE,2,"depression pill; depression",TRUE,TRUE
"cross_nokeeper","DASS","MR3","Anxiety",1,11,"panic attack","tier1",FALSE,2,"panic attack; anxiety baking",FALSE,FALSE
"cross_inst2","DASS","MR1","Stress",0.824,17,"irritability","tier1",FALSE,1,"irritability",FALSE,FALSE
"cross_inst2","DASS","MR2","Depression",1,14,"depression","tier1",FALSE,2,"depression pill; depression",TRUE,TRUE
"cross_inst2","DASS","MR3","Anxiety",1,11,"panic attack","tier1",FALSE,1,"panic attack",FALSE,FALSE
"cross_inst3","DASS","MR1","Stress",0.824,17,"irritability","tier1",FALSE,1,"irritability",FALSE,FALSE
"cross_inst3","DASS","MR2","Depression",1,14,"depression","tier1",FALSE,2,"depression pill; depression",TRUE,TRUE
