code,item,factor,scoring
DIF1,I am often confused about what emotion I am feeling.,DIF,+1
DDF1,It is difficult for me to find the right words for my feelings.,DDF,+1
DIF2,I have physical sensations that even doctors don't understand.,DIF,+1
DDF2,I am able to describe my feelings easily.,DDF,+1
EOT1,I prefer to analyze problems rather than just describe them.,EOT,+1
DIF3,When I am upset I don't know if I am sad frightened or angry.,DIF,+1
DIF4,I am often puzzled by sensations in my body.,DIF,+1
EOT2,I prefer to just let things happen rather than to understand why they turned out that way.,EOT,+1
DIF5,I have feelings that I can't quite identify.,DIF,+1
EOT3,Being in touch with emotions is essential.,EOT,+1
DDF3,I find it hard to describe how I feel about people.,DDF,+1
DDF4,People tell me to describe my feelings more.,DDF,+1
DIF6,I don't know what's going on inside me.,DIF,+1
DIF7,I often don't know why I am angry.,DIF,+1
EOT4,I prefer talking to people about their daily activities rather than their feelings.,EOT,+1
EOT5,I prefer to watch light entertainment shows rather than psychological dramas.,EOT,+1
DDF5,It is difficult for me to reveal my innermost feelings even to close friends.,DDF,+1
EOT6,I can feel close to someone even in moments of silence.,EOT,+1
EOT7,I find examination of my feelings useful in solving personal problems.,EOT,+1
EOT8,Looking for hidden meanings in movies or plays distracts from their enjoyment.,EOT,+1
